e,conjunção,i
es·tra·nho,adjetivo,is.tɾˈə.ɲʊ
es·tran·ja,"nome feminino",is.tɾˈə̃.ʒə
es·tran·ja,adjetivo,is.tɾˈə̃.ʒə
es·tran·ja,"nome masculino",is.tɾˈə̃.ʒə
es·trar,verbo,is.tɾˈa
es·tra·ta·ge·ma,"nome masculino",is.tɾa.ta.ʒˈɛ.mə
es·tra·te·ga,"nome masculino","is.tɾa.tˈɛ.gə ou is.tɾa.tˈɛ.gə"
"es·tra·té·gi· a","nome feminino",is.tɾa.tˈɛ.ʒjə
es·tra·te·gi·ca·men·te,advérbio,is.tɾa.tɛ.ʒi.ka.mˈẽj.tʃi
es·tra·té·gi·co,adjetivo,is.tɾa.tˈɛ.ʒi.kʊ
es·tra·te·gis·ta,"nome masculino",is.tɾa.te.ʒˈis.tə
es·tra·te·gis·ta,"nome feminino",is.tɾa.te.ʒˈis.tə
es·tra·te·go,"nome masculino",is.tɾa.tˈe.gʊ
es·tra·ti·fi·ca·ção,"nome feminino",is.tɾa.tʃi.fi.ka.sˈə̃w
es·tra·ti·fi·ca·do,adjetivo,is.tɾa.tʃi.fi.kˈa.dʊ
es·tra·ti·fi·car,verbo,is.tɾa.tʃi.fi.kˈa
es·tra·ti·gra·fi·a,"nome feminino",is.tɾa.tʃi.gɾa.fˈi.jə
es·tra·ti·grá·fi·co,adjetivo,is.tɾa.tʃi.gɾˈa.fi.kʊ
es·tra·to,"nome masculino",is.tɾˈa.tʊ
es·tra·to·cú·mu·lo,"nome masculino",is.tɾa.to.kˈu.mu.lʊ
es·tra·tos·fe·ra,"nome feminino",is.tɾa.tos.fˈɛ.ɾə
es·tra·tos·fé·ri·co,adjetivo,is.tɾa.tos.fˈɛ.ɾi.kʊ
es·tra·var,verbo,is.tɾa.vˈa
es·tre·an·te,adjetivo,is.tɾi.ˈə̃.tʃi
es·tre·an·te,"nome masculino",is.tɾi.ˈə̃.tʃi
es·tre·an·te,"nome feminino",is.tɾi.ˈə̃.tʃi
es·tre·ar,verbo,is.tɾi.ˈa
es·tre·ba·ri·a,"nome feminino",is.tɾe.ba.ɾˈi.jə
es·tre·bu·char,verbo,is.tɾe.bu.ʃˈa
es·trei·a,"nome feminino",is.tɾˈej.jə
es·trei·ta·men·te,advérbio,is.tɾej.ta.mˈẽj.tʃi
es·trei·ta·men·to,"nome masculino",is.tɾej.ta.mˈẽj.tʊ
es·trei·tar,verbo,is.tɾej.tˈa
es·trei·te·za,"nome feminino",is.tɾej.tˈe.zə
es·trei·to,adjetivo,is.tɾˈej.tʊ
es·trei·to,"nome masculino",is.tɾˈej.tʊ
es·tre·la,"nome feminino",is.tɾˈe.lə
es·tre·la-do-mar,"nome feminino",is.tɾˌe.lə.dʊ.mˈaɾ
es·tre·la·do,adjetivo,is.tɾe.lˈa.dʊ
es·tre·lar,adjetivo,is.tɾe.lˈaɾ
es·tre·lar,verbo,is.tɾe.lˈa
es·tre·la·to,"nome masculino",is.tɾe.lˈa.tʊ
es·tre·le·jar,verbo,is.tɾe.le.ʒˈa
"es·tre·lí·ci· a","nome feminino",is.tɾe.lˈi.sjə
es·tre·li·nha,"nome feminino",is.tɾe.lˈi.ɲə
es·tre·lo,adjetivo,is.tɾˈe.lʊ
es·tre·ma,"nome feminino",is.tɾˈe.mə
es·tre·ma·du·ra,"nome feminino",is.tɾe.ma.dˈu.ɾə
es·tre·mar,verbo,is.tɾe.mˈa
es·tre·me,adjetivo,is.tɾˈe.mi
es·tre·me·ção,"nome masculino",is.tɾe.me.sˈə̃w
es·tre·me·cer,verbo,is.tɾe.me.sˈe
es·tre·me·ci·men·to,"nome masculino",is.tɾe.me.si.mˈẽj.tʊ
es·tre·me·nha,"nome feminino",is.tɾe.mˈe.ɲə
es·tre·me·nho,adjetivo,is.tɾe.mˈe.ɲʊ
es·tre·me·nho,"nome masculino",is.tɾe.mˈe.ɲʊ
es·tre·mu·nha·do,adjetivo,is.tɾe.mu.ɲˈa.dʊ
es·tre·mu·nhar,verbo,is.tɾe.mu.ɲˈa
es·tre·nu·a·men·te,advérbio,is.tɾɛ.nwa.mˈẽj.tʃi
"es·tré·nu· o",adjetivo,is.tɾˈɛ.nwʊ
es·tré·pi·to,"nome masculino",is.tɾˈɛ.pi.tʊ
es·tre·pi·to·sa·men·te,advérbio,is.tɾe.pi.tɔ.za.mˈẽj.tʃi
es·tre·pi·to·so,adjetivo,is.tɾe.pi.tˈo.zʊ
es·trep·to·co·co,"nome masculino",is.tɾɛ.pə.to.kˈɔ.kʊ
es·trep·to·mi·ci·na,"nome feminino",is.tɾɛ.pə.to.mi.sˈi.nə
es·trep·to·qui·na·se,"nome feminino",is.tɾɛ.pə.to.ki.nˈa.zi
es·tri·a,"nome feminino",is.tɾˈi.jə
es·tri·a·do,adjetivo,is.tɾjˈa.dʊ
es·tri·ar,verbo,is.tɾjˈa
es·tri·ba·do,adjetivo,is.tɾi.bˈa.dʊ
es·tri·bar,verbo,is.tɾi.bˈa
es·tri·bei·ra,"nome feminino",is.tɾi.bˈej.ɾə
es·tri·bei·ro,"nome masculino",is.tɾi.bˈej.ɾʊ
es·tri·bei·ro-mor,"nome masculino",is.tɾi.bˌej.ɾʊ.mˈɔɾ
es·tri·bi·lho,"nome masculino",is.tɾi.bˈi.ʎʊ
es·tri·bo,"nome masculino",is.tɾˈi.bʊ
es·tric·ni·na,"nome feminino",is.tɾi.ki.nˈi.nə
"es·tri·dên·ci· a","nome feminino",is.tɾi.dˈẽj.sjə
es·tri·den·te,adjetivo,is.tɾi.dˈẽj.tʃi
es·tri·den·te·men·te,advérbio,is.tɾi.dẽ.te.mˈẽj.tʃi
es·tri·dor,"nome masculino",is.tɾi.dˈoɾ
es·tri·ga,"nome feminino",is.tɾˈi.gə
es·tri·gar,verbo,is.tɾi.gˈa
es·tri·lho,"nome masculino",is.tɾˈi.ʎʊ
es·tri·pa·dor,"nome masculino",is.tɾi.pa.dˈoɾ
es·tri·pa·dor,adjetivo,is.tɾi.pa.dˈoɾ
es·tri·par,verbo,is.tɾi.pˈa
es·tri·ta·men·te,advérbio,is.tɾi.ta.mˈẽj.tʃi
es·tri·to,adjetivo,is.tɾˈi.tʊ
es·tro,"nome masculino",ˈɛs.tɾʊ
es·tro·bos·có·pi·co,adjetivo,is.tɾo.bos.kˈɔ.pi.kʊ
es·tro·fe,"nome feminino",is.tɾˈɔ.fi
es·tro·fi·ca·men·te,advérbio,is.tɾɔ.fi.ka.mˈẽj.tʃi
es·tró·fi·co,adjetivo,is.tɾˈɔ.fi.kʊ
es·tro·gé·ni·co,adjetivo,is.tɾɔ.ʒˈɛ.ni.kʊ
"es·tro·gé·ni· o","nome masculino",is.tɾɔ.ʒˈɛ.njʊ
es·tró·ge·no,"nome masculino",is.tɾˈɔ.ʒe.nʊ
es·troi·na,"nome masculino","is.tɾˈoj.nə ou is.tɾˈoj.nə"
es·troi·na,adjetivo,is.tɾˈoj.nə
es·troi·nar,verbo,is.tɾoj.nˈa
es·tron·ca·men·to,"nome masculino",is.tɾõ.ka.mˈẽj.tʊ
es·tron·car,verbo,is.tɾõ.kˈa
"es·trôn·ci· o","nome masculino",is.tɾˈõ.sjʊ
es·tron·dar,verbo,is.tɾõ.dˈa
es·tron·do,"nome masculino",is.tɾˈõ.dʊ
es·tron·do·sa·men·te,advérbio,is.tɾõ.do.za.mˈẽj.tʃi
es·tron·do·so,adjetivo,is.tɾõ.dˈo.zʊ
es·tro·pi·a·da,"nome feminino",is.tɾo.pjˈa.də
es·tro·pi·a·do,"nome masculino",is.tɾo.pjˈa.dʊ
es·tro·pi·a·do,adjetivo,is.tɾo.pjˈa.dʊ
es·tro·pi·ar,verbo,is.tɾo.pjˈa
es·tru·ma,"nome feminino",is.tɾˈu.mə
es·tru·ma·da,"nome feminino",is.tɾu.mˈa.də
es·tru·ma·do,adjetivo,is.tɾu.mˈa.dʊ
es·tru·mar,verbo,is.tɾu.mˈa
es·tru·me,"nome masculino",is.tɾˈu.mi
es·tru·mei·ra,"nome feminino",is.tɾu.mˈej.ɾə
es·tru·tu·ra,"nome feminino",is.tɾu.tˈu.ɾə
es·tru·tu·ra·ção,"nome feminino",is.tɾu.tu.ɾa.sˈə̃w
es·tru·tu·ral,adjetivo,is.tɾu.tu.ɾˈaw
es·tru·tu·ra·lis·mo,"nome masculino",is.tɾu.tu.ɾa.lˈiz.mʊ
es·tru·tu·ra·lis·ta,"nome masculino",is.tɾu.tu.ɾa.lˈis.tə
es·tru·tu·ra·lis·ta,adjetivo,is.tɾu.tu.ɾa.lˈis.tə
es·tru·tu·ra·lis·ta,"nome feminino",is.tɾu.tu.ɾa.lˈis.tə
es·tru·tu·ral·men·te,advérbio,is.tɾu.tu.ɾaw.mˈẽj.tʃi
es·tru·tu·ran·te,adjetivo,is.tɾu.tu.ɾˈə̃.tʃi
es·tru·tu·rar,verbo,is.tɾu.tu.ɾˈa
es·tu·an·te,adjetivo,is.twˈə̃.tʃi
"es·tu·á·ri· o","nome masculino",is.twˈa.ɾjʊ
es·tu·ca·do,adjetivo,is.tu.kˈa.dʊ
es·tu·ca·dor,"nome masculino",is.tu.ka.dˈoɾ
es·tu·ca·dor,adjetivo,is.tu.ka.dˈoɾ
es·tu·ca·gem,"nome feminino",is.tu.kˈa.ʒeɲ
es·tu·car,verbo,is.tu.kˈa
es·tu·da·da·men·te,advérbio,is.tu.da.da.mˈẽj.tʃi
es·tu·da·do,adjetivo,is.tu.dˈa.dʊ
es·tu·dan·ta·da,"nome feminino",is.tu.də̃.tˈa.də
es·tu·dan·te,"nome masculino",is.tu.dˈə̃.tʃi
es·tu·dan·te,adjetivo,is.tu.dˈə̃.tʃi
es·tu·dan·te,"nome feminino",is.tu.dˈə̃.tʃi
es·tu·dan·te-tra·ba·lha·dor,"nome masculino",is.tu.dˌə̃.tʃi.tɾa.ba.ʎa.dˈoɾ
es·tu·dan·til,adjetivo,is.tu.də̃.tʃˈiw
es·tu·dan·ti·na,"nome feminino",is.tu.də̃.tʃˈi.nə
es·tu·dar,verbo,is.tu.dˈa
"es·tú·di· o","nome masculino",is.tˈu.dʒjʊ
es·tu·di·o·sa,"nome feminino",is.tu.dʒi.ˈɔ.zə
es·tu·di·o·sa·men·te,advérbio,is.tu.dʒi.ɔ.za.mˈẽj.tʃi
es·tu·di·o·so,adjetivo,is.tu.dʒi.ˈo.zʊ
es·tu·di·o·so,"nome masculino",is.tu.dʒi.ˈo.zʊ
es·tu·do,"nome masculino",is.tˈu.dʊ
es·tu·fa,"nome feminino",is.tˈu.fə
es·tu·fa·do,"nome masculino",is.tu.fˈa.dʊ
es·tu·fa·do,adjetivo,is.tu.fˈa.dʊ
es·tu·fa·gem,"nome feminino",is.tu.fˈa.ʒeɲ
es·tu·far,verbo,is.tu.fˈa
es·tu·gar,verbo,is.tu.gˈa
es·tul·ta·men·te,advérbio,is.tuw.ta.mˈẽj.tʃi
"es·tul·tí·ci· a","nome feminino",is.tuw.tʃˈi.sjə
es·tul·to,adjetivo,is.tˈuw.tʊ
es·tu·pe·fa·ção,"nome feminino",is.tu.pe.fa.sˈə̃w
es·tu·pe·fac·ção,"nome feminino",is.tu.pe.fa.kə.sˈə̃w
es·tu·pe·fa·ci·en·te,adjetivo,is.tu.pe.fa.si.ˈẽj.tʃi
es·tu·pe·fa·ci·en·te,"nome masculino",is.tu.pe.fa.si.ˈẽj.tʃi
es·tu·pe·fac·to,adjetivo,is.tu.pe.fˈa.kə.tʊ
es·tu·pen·da·men·te,advérbio,is.tu.pẽ.da.mˈẽj.tʃi
es·tu·pen·do,adjetivo,is.tu.pˈẽj.dʊ
es·tú·pi·da,"nome feminino",is.tˈu.pi.də
es·tu·pi·da·men·te,advérbio,is.tu.pi.da.mˈẽj.tʃi
es·tu·pi·dez,"nome feminino",is.tu.pi.dˈes
es·tu·pi·di·fi·ca·ção,"nome feminino",is.tu.pi.dʒi.fi.ka.sˈə̃w
es·tu·pi·di·fi·can·te,adjetivo,is.tu.pi.dʒi.fi.kˈə̃.tʃi
es·tu·pi·di·fi·car,verbo,is.tu.pi.dʒi.fi.kˈa
es·tú·pi·do,adjetivo,is.tˈu.pi.dʊ
es·tú·pi·do,"nome masculino",is.tˈu.pi.dʊ
es·tu·por,"nome masculino",is.tu.pˈoɾ
es·tu·po·rar,verbo,is.tu.po.ɾˈa
es·tu·prar,verbo,is.tu.pɾˈa
es·tu·pro,"nome masculino",is.tˈu.pɾʊ
es·tu·que,"nome masculino",is.tˈu.ki
"es·túr·di· a","nome feminino",is.tˈuɾ.dʒjə
es·tur·di·a·men·te,advérbio,is.tuɾ.dʒja.mˈẽj.tʃi
"es·túr·di· o",adjetivo,is.tˈuɾ.dʒjʊ
es·tur·jão,"nome masculino",is.tuɾ.ʒˈə̃w
es·tur·rar,verbo,is.tu.xˈa
es·tur·ro,"nome masculino",is.tˈu.xʊ
es·vai·men·to,"nome masculino",iz.va.i.mˈẽj.tʊ
es·va·ir,verbo,iz.va.ˈi
es·va·ne·cer,verbo,iz.va.ne.sˈe
es·va·zi·a·men·to,"nome masculino",iz.va.zja.mˈẽj.tʊ
es·va·zi·ar,verbo,iz.va.zjˈa
es·ven·trar,verbo,iz.vẽ.tɾˈa
es·ver·de·a·do,"nome masculino",iz.veɾ.dʒi.ˈa.dʊ
es·ver·de·a·do,adjetivo,iz.veɾ.dʒi.ˈa.dʊ
es·ver·de·ar,verbo,iz.veɾ.dʒi.ˈa
es·vo·a·çan·te,adjetivo,iz.vo.a.sˈə̃.tʃi
es·vo·a·çar,verbo,iz.vo.a.sˈa
e·ta,adjetivo,ˈɛ.tə
e·ta,"nome masculino",ˈe.tə
e·ta,interjeição,ˈɛ.tə
e·ta,"nome feminino",ˈe.tə
e·ta·no,"nome masculino",e.tˈə.nʊ
e·ta·nol,"nome masculino",e.ta.nˈɔw
e·ta·pa,"nome feminino",e.tˈa.pə
"e·tá·ri· o",adjetivo,e.tˈa.ɾjʊ
e·tar·ra,"nome masculino","e.tˈa.xə ou e.tˈa.xə"
e·tar·ra,adjetivo,e.tˈa.xə
é·ter,"nome masculino",ˈɛ.teɾ
"e·té·re· o",adjetivo,e.tˈɛ.ɾjʊ
e·ter·nal,adjetivo,e.ter.nˈaw
e·ter·nal·men·te,advérbio,e.ter.naw.mˈẽj.tʃi
e·ter·na·men·te,advérbio,e.tɛr.na.mˈẽj.tʃi
e·ter·nar,verbo,e.ter.nˈa
e·ter·ni·da·de,"nome feminino",e.ter.ni.dˈa.dʒi
e·ter·ni·za·ção,"nome feminino",e.ter.ni.za.sˈə̃w
e·ter·ni·zar,verbo,e.ter.ni.zˈa
e·ter·no,adjetivo,e.tˈer.nʊ
é·ti·ca,"nome feminino",ˈɛ.tʃi.kə
e·ti·ca·men·te,advérbio,ɛ.tʃi.ka.mˈẽj.tʃi
é·ti·co,adjetivo,ˈɛ.tʃi.kʊ
e·ti·le·no,"nome masculino",e.tʃi.lˈe.nʊ
e·ti·le·no·gli·col,"nome masculino",e.tʃi.le.no.gli.kˈɔw
e·tí·li·co,adjetivo,e.tʃˈi.li.kʊ
e·ti·li·za·do,adjetivo,e.tʃi.li.zˈa.dʊ
e·ti·li·zar,verbo,e.tʃi.li.zˈa
é·ti·mo,"nome masculino",ˈɛ.tʃi.mʊ
e·ti·mo·lo·gi·a,"nome feminino",e.tʃi.mo.lo.ʒˈi.jə
e·ti·mo·lo·gi·ca·men·te,advérbio,e.tʃi.mo.lɔ.ʒi.ka.mˈẽj.tʃi
e·ti·mo·ló·gi·co,adjetivo,e.tʃi.mo.lˈɔ.ʒi.kʊ
e·ti·o·lo·gi·a,"nome feminino",ɛ.tʃi.o.lo.ʒˈi.jə
e·ti·o·lo·gi·ca·men·te,advérbio,ɛ.tʃi.o.lɔ.ʒi.ka.mˈẽj.tʃi
e·ti·o·ló·gi·co,adjetivo,ɛ.tʃi.o.lˈɔ.ʒi.kʊ
e·tí·o·pe,adjetivo,e.tʃˈi.o.pi
e·tí·o·pe,"nome masculino","e.tʃˈi.o.pi ou e.tʃˈi.o.pi"
e·ti·o·pi·ca·men·te,advérbio,e.tʃi.ɔ.pi.ka.mˈẽj.tʃi
e·ti·ó·pi·co,adjetivo,e.tʃi.ˈɔ.pi.kʊ
e·ti·que·ta,"nome feminino",e.tʃi.kˈe.tə
e·ti·que·ta·gem,"nome feminino",e.tʃi.ke.tˈa.ʒeɲ
e·ti·que·tar,verbo,e.tʃi.ke.tˈa
et·ni·a,"nome feminino",ɛ.ti.nˈi.jə
et·ni·ca·men·te,advérbio,ɛ.ti.ni.ka.mˈẽj.tʃi
ét·ni·co,adjetivo,ˈɛ.ti.ni.kʊ
et·no·cen·tris·mo,"nome masculino",ɛ.tə.no.sẽ.tɾˈiz.mʊ
"et·no·cí·di· o","nome masculino",ɛ.tə.no.sˈi.dʒjʊ
et·no·gra·fi·a,"nome feminino",e.tə.no.gɾa.fˈi.jə
et·no·gra·fi·ca·men·te,advérbio,ɛ.tə.no.gɾa.fi.ka.mˈẽj.tʃi
et·no·grá·fi·co,adjetivo,ɛ.tə.no.gɾˈa.fi.kʊ
et·nó·gra·fo,"nome masculino",ɛ.tə.nˈɔ.gɾa.fʊ
et·no·lo·gi·a,"nome feminino",e.tə.no.lo.ʒˈi.jə
et·no·lo·gi·ca·men·te,advérbio,ɛ.tə.no.lɔ.ʒi.ka.mˈẽj.tʃi
et·no·ló·gi·co,adjetivo,ɛ.tə.no.lˈɔ.ʒi.kʊ
et·nó·lo·go,"nome masculino",ɛ.tə.nˈɔ.lo.gʊ
et·no·mu·si·co·lo·gi·a,"nome feminino",ɛ.tə.no.mu.zi.ko.lo.ʒˈi.jə
et·no·mu·si·co·ló·gi·co,adjetivo,ɛ.tə.no.mu.zi.ko.lˈɔ.ʒi.kʊ
et·no·mu·si·có·lo·go,"nome masculino",ɛ.tə.no.mu.zi.kˈɔ.lo.gʊ
e·to·lo·gi·a,"nome feminino",ɛ.to.lo.ʒˈi.jə
e·to·ló·gi·co,adjetivo,ɛ.to.lˈɔ.ʒi.kʊ
e·tó·lo·go,"nome masculino",ɛ.tˈɔ.lo.gʊ
e·trus·ca,"nome feminino",e.tɾˈus.kə
e·trus·co,adjetivo,e.tɾˈus.kʊ
e·trus·co,"nome masculino",e.tɾˈus.kʊ
eu,pronome,ˈew
eu,"nome masculino",ˈew
eu·ca·lip·tal,"nome masculino",ew.ka.li.pə.tˈaw
eu·ca·lip·to,"nome masculino",ew.ka.lˈi.pə.tʊ
eu·ca·ri·o·ta,adjetivo,ew.ka.ɾi.ˈɔ.tə
eu·ca·rís·ti·co,adjetivo,ew.ka.ɾˈis.tʃi.kʊ
eu·cli·di·a·no,adjetivo,ew.kli.dʒjˈə.nʊ
eu·fe·mis·mo,"nome masculino",ew.fe.mˈiz.mʊ
eu·fe·mis·ti·ca·men·te,advérbio,ew.fe.mis.tʃi.ka.mˈẽj.tʃi
eu·fe·mís·ti·co,adjetivo,ew.fe.mˈis.tʃi.kʊ
eu·fo·ri·a,"nome feminino",ew.fo.ɾˈi.jə
eu·fo·ri·ca·men·te,advérbio,ew.fɔ.ɾi.ka.mˈẽj.tʃi
eu·fó·ri·co,adjetivo,ew.fˈɔ.ɾi.kʊ
eu·fo·ri·zan·te,adjetivo,ew.fo.ɾi.zˈə̃.tʃi
"eu·frá·si· a","nome feminino",ew.fɾˈa.zja
"eu·gé·ni· a","nome feminino",ew.ʒˈɛ.njə
eu·ge·ni·a,"nome feminino",ew.ʒe.nˈi.jə
eu·gé·ni·co,adjetivo,ew.ʒˈɛ.ni.kʊ
eu·ge·nis·mo,"nome masculino",ew.ʒe.nˈiz.mʊ
eu·ge·nis·ta,adjetivo,ew.ʒe.nˈis.tə
eu·ge·nis·ta,"nome masculino","ew.ʒe.nˈis.tə ou ew.ʒe.nˈis.tə"
eu·mé·ni·de,"nome feminino",ew.mˈɛ.ni.dʒi
eu·nu·co,adjetivo,ew.nˈu.kʊ
eu·nu·co,"nome masculino",ew.nˈu.kʊ
eu·ra·si·á·ti·ca,"nome feminino",ew.ɾa.zjˈa.tʃi.kə
eu·ra·si·á·ti·co,adjetivo,ew.ɾa.zjˈa.tʃi.kʊ
eu·ra·si·á·ti·co,"nome masculino",ew.ɾa.zjˈa.tʃi.kʊ
"eu·rá·si· o",adjetivo,ew.ɾˈa.zju
eu·re·ca,interjeição,ew.ɾˈɛ.kə
eu·rit·mi·a,"nome feminino",ew.ɾi.ti.mˈi.jə
eu·ro,"nome masculino",ˈew.ɾʊ
eu·ro-a·si·á·ti·ca,"nome feminino",ˌew.ɾo.a.zjˈa.tʃi.kə
eu·ro-a·si·á·ti·co,adjetivo,ˌew.ɾo.a.zjˈa.tʃi.kʊ
eu·ro-a·si·á·ti·co,"nome masculino",ˌew.ɾo.a.zjˈa.tʃi.kʊ
eu·ro-a·tlân·ti·co,adjetivo,ˌew.ɾo.a.tlˈə̃.tʃi.kʊ
eu·ro·cên·tri·co,adjetivo,ew.ɾo.sˈẽj.tɾi.kʊ
eu·ro·cen·tris·mo,"nome masculino",ew.ɾo.sẽ.tɾˈiz.mʊ
eu·ro·cép·ti·ca,"nome feminino",ew.ɾo.sˈɛ.pi.tʃi.kə
eu·ro·cep·ti·cis·mo,"nome masculino",ew.ɾo.se.pi.tʃi.sˈiz.mʊ
eu·ro·cép·ti·co,adjetivo,ew.ɾo.sˈɛ.pi.tʃi.kʊ
eu·ro·cép·ti·co,"nome masculino",ew.ɾo.sˈɛ.pi.tʃi.kʊ
eu·ro·cra·ci·a,"nome feminino",ew.ɾo.kɾa.sˈi.jə
eu·ro·cra·ta,"nome masculino","ew.ɾo.kɾˈa.tə ou ew.ɾo.kɾˈa.tə"
eu·ro·de·pu·ta·da,"nome feminino",ew.ɾo.de.pu.tˈa.də
eu·ro·de·pu·ta·do,"nome masculino",ew.ɾo.de.pu.tˈa.dʊ
eu·ro·mer·ca·do,"nome masculino",ew.ɾo.meɾ.kˈa.dʊ
eu·ro·mís·sil,"nome masculino",ew.ɾo.mˈi.siw
eu·ro·pei·a,"nome feminino",ew.ɾo.pˈɛj.jə
eu·ro·pe·ís·mo,"nome masculino",ew.ɾo.pe.ˈiz.mʊ
eu·ro·pe·ís·ta,adjetivo,ew.ɾo.pe.ˈis.tə
eu·ro·pe·ís·ta,"nome masculino","ew.ɾo.pe.ˈis.tə ou ew.ɾo.pe.ˈis.tə"
eu·ro·pei·za·ção,"nome feminino",ew.ɾo.pej.za.sˈə̃w
eu·ro·pei·zar,verbo,ew.ɾo.pej.zˈa
eu·ro·peu,adjetivo,ew.ɾo.pˈew
eu·ro·peu,"nome masculino",ew.ɾo.pˈew
"eu·ta·ná·si· a","nome feminino",ew.ta.nˈa.zja
eu·tó·ci·co,adjetivo,ew.tˈɔ.si.kʊ
eu·tro·fi·za·ção,"nome feminino",ew.tɾo.fi.za.sˈə̃w
eu·tro·fi·zar,verbo,ew.tɾo.fi.zˈa
e·va·cu·a·ção,"nome feminino",e.va.kwa.sˈə̃w
e·va·cu·ar,verbo,e.va.kwˈa
e·va·di·do,adjetivo,e.va.dʒˈi.dʊ
e·va·di·do,"nome masculino",e.va.dʒˈi.dʊ
e·va·dir,verbo,e.va.dʒˈi
"e·va·nes·cên·ci· a","nome feminino",e.va.ne.sˈẽj.sjə
e·va·nes·cen·te,adjetivo,e.va.ne.sˈẽj.tʃi
e·van·ge·lho,"nome masculino","e.və̃.ʒˈe.ʎʊ ou e.və̃.ʒˈe.ʎʊ"
e·van·gé·li·ca,"nome feminino",e.və̃.ʒˈɛ.li.kə
e·van·ge·li·ca·men·te,advérbio,e.və̃.ʒɛ.li.ka.mˈẽj.tʃi
e·van·gé·li·co,adjetivo,e.və̃.ʒˈɛ.li.kʊ
e·van·gé·li·co,"nome masculino",e.və̃.ʒˈɛ.li.kʊ
e·van·ge·lis·mo,"nome masculino",e.və̃.ʒe.lˈiz.mʊ
e·van·ge·lis·ta,"nome masculino",e.və̃.ʒe.lˈis.tə
e·van·ge·lis·ta,"nome feminino",e.və̃.ʒe.lˈis.tə
e·van·ge·li·za·ção,"nome feminino",e.və̃.ʒe.li.za.sˈə̃w
e·van·ge·li·za·dor,adjetivo,e.və̃.ʒe.li.za.dˈoɾ
e·van·ge·li·za·dor,"nome masculino",e.və̃.ʒe.li.za.dˈoɾ
e·van·ge·li·za·do·ra,"nome feminino",e.və̃.ʒe.li.za.dˈo.ɾə
e·van·ge·li·zar,verbo,e.və̃.ʒe.li.zˈa
e·va·po·ra·ção,"nome feminino",e.va.po.ɾa.sˈə̃w
e·va·po·ra·dor,adjetivo,e.va.po.ɾa.dˈoɾ
e·va·po·ra·dor,"nome masculino",e.va.po.ɾa.dˈoɾ
e·va·po·rar,verbo,e.va.po.ɾˈa
e·va·po·trans·pi·ra·ção,"nome feminino",e.va.po.tɾə̃s.pi.ɾa.sˈə̃w
e·va·são,"nome feminino",e.va.zˈə̃w
e·va·si·va,"nome feminino",e.va.zˈi.və
e·va·si·va·men·te,advérbio,e.va.zi.va.mˈẽj.tʃi
e·va·si·vo,adjetivo,e.va.zˈi.vʊ
e·ven·to,"nome masculino",e.vˈẽj.tʊ
e·ven·tu·al,adjetivo,e.vẽ.twˈaw
e·ven·tu·a·li·da·de,"nome feminino",e.vẽ.twa.li.dˈa.dʒi
e·ven·tu·al·men·te,advérbio,e.vẽ.twaw.mˈẽj.tʃi
e·vic·ção,"nome feminino",e.vi.kə.sˈə̃w
"e·vi·dên·ci· a","nome feminino",e.vi.dˈẽj.sjə
e·vi·den·ci·ar,verbo,e.vi.dẽ.sjˈa
e·vi·den·te,adjetivo,e.vi.dˈẽj.tʃi
e·vi·den·te·men·te,advérbio,e.vi.dẽ.te.mˈẽj.tʃi
e·vi·ta·ção,"nome feminino",e.vi.ta.sˈə̃w
e·vi·ta·men·to,"nome masculino",e.vi.ta.mˈẽj.tʊ
e·vi·tan·do,adjetivo,e.vi.tˈə̃.dʊ
e·vi·tar,verbo,e.vi.tˈa
e·vi·tá·vel,adjetivo,e.vi.tˈa.vew
e·vo,"nome masculino",ˈɛ.vʊ
e·vo·ca·ção,"nome feminino",e.vo.ka.sˈə̃w
e·vo·ca·dor,adjetivo,e.vo.ka.dˈoɾ
e·vo·ca·dor,"nome masculino",e.vo.ka.dˈoɾ
e·vo·ca·do·ra,"nome feminino",e.vo.ka.dˈo.ɾə
e·vo·car,verbo,e.vo.kˈa
e·vo·ca·ti·va·men·te,advérbio,e.vo.ka.tʃi.va.mˈẽj.tʃi
e·vo·ca·ti·vo,adjetivo,e.vo.ka.tʃˈi.vʊ
e·vo·cá·vel,adjetivo,e.vo.kˈa.vew
e·vo·lar,verbo,e.vo.lˈa
e·vo·lu·ção,"nome feminino",e.vo.lu.sˈə̃w
e·vo·lu·ci·o·nar,verbo,e.vo.lu.si.o.nˈa
"e·vo·lu·ci·o·ná·ri· o",adjetivo,e.vo.lu.si.o.nˈa.ɾjʊ
e·vo·lu·ci·o·nis·mo,"nome masculino",e.vo.lu.si.o.nˈiz.mʊ
e·vo·lu·ci·o·nis·ta,adjetivo,e.vo.lu.si.o.nˈis.tə
e·vo·lu·ci·o·nis·ta,"nome masculino",e.vo.lu.si.o.nˈis.tə
e·vo·lu·ci·o·nis·ta,"nome feminino",e.vo.lu.si.o.nˈis.tə
e·vo·lu·í·do,adjetivo,e.vo.lwˈi.dʊ
e·vo·lu·ir,verbo,e.vo.lwˈi
e·vo·lu·ti·va·men·te,advérbio,e.vo.lu.tʃi.va.mˈẽj.tʃi
e·vo·lu·ti·vo,adjetivo,e.vo.lu.tʃˈi.vʊ
e·vol·ven·te,"nome feminino",e.vow.vˈẽj.tʃi
e·vol·ver,verbo,e.vɔw.vˈe
